"ID","Category","Name","Method","Checked","Observed","Recommended","Operator","Severity","Result","Detail","Hostname"
"10074","Registry (MS baseline)","Software\Policies\Microsoft\Windows\WinRM\Client\AllowBasic","Registry","HKLM:\Software\Policies\Microsoft\Windows\WinRM\Client\AllowBasic","","0","=","Medium","Medium","Result=, Recommended=0",
"10075","Registry (MS baseline)","Software\Policies\Microsoft\Windows\WinRM\Service\AllowUnencryptedTraffic","Registry","HKLM:\Software\Policies\Microsoft\Windows\WinRM\Service\AllowUnencryptedTraffic","","0","=","Medium","Medium","Result=, Recommended=0",
"10076","Registry (MS baseline)","Software\Policies\Microsoft\Windows\WinRM\Service\DisableRunAs","Registry","HKLM:\Software\Policies\Microsoft\Windows\WinRM\Service\DisableRunAs","","1","=","Medium","Medium","Result=, Recommended=1",
"10077","Registry (MS baseline)","Software\Policies\Microsoft\Windows\WinRM\Service\AllowBasic","Registry","HKLM:\Software\Policies\Microsoft\Windows\WinRM\Service\AllowBasic","","0","=","Medium","Medium","Result=, Recommended=0",
"10078","Registry (MS baseline)","Software\Policies\Microsoft\Windows\WTDS\Components\NotifyMalicious","Registry","HKLM:\Software\Policies\Microsoft\Windows\WTDS\Components\NotifyMalicious","","1","=","Medium","Medium","Result=, Recommended=1",
"10079","Registry (MS baseline)","Software\Policies\Microsoft\Windows\WTDS\Components\NotifyPasswordReuse","Registry","HKLM:\Software\Policies\Microsoft\Windows\WTDS\Components\NotifyPasswordReuse","","1","=","Medium","Medium","Result=, Recommended=1",
"10080","Registry (MS baseline)","Software\Policies\Microsoft\Windows\WTDS\Components\NotifyUnsafeApp","Registry","HKLM:\Software\Policies\Microsoft\Windows\WTDS\Components\NotifyUnsafeApp","","1","=","Medium","Medium","Result=, Recommended=1",
"10081","Registry (MS baseline)","Software\Policies\Microsoft\Windows\WTDS\Components\ServiceEnabled","Registry","HKLM:\Software\Policies\Microsoft\Windows\WTDS\Components\ServiceEnabled","","1","=","Medium","Medium","Result=, Recommended=1",
"10082","Registry (MS baseline)","Software\Policies\Microsoft\Windows NT\DNSClient\EnableMulticast","Registry","HKLM:\Software\Policies\Microsoft\Windows NT\DNSClient\EnableMulticast","","0","=","Medium","Medium","Result=, Recommended=0",
"10083","Registry (MS baseline)","Software\Policies\Microsoft\Windows NT\DNSClient\EnableNetbios","Registry","HKLM:\Software\Policies\Microsoft\Windows NT\DNSClient\EnableNetbios","","0","=","Medium","Medium","Result=, Recommended=0",
"10084","Registry (MS baseline)","Software\Policies\Microsoft\Windows NT\Printers\DisableWebPnPDownload","Registry","HKLM:\Software\Policies\Microsoft\Windows NT\Printers\DisableWebPnPDownload","","1","=","Medium","Medium","Result=, Recommended=1",
"10085","Registry (MS baseline)","Software\Policies\Microsoft\Windows NT\Printers\RedirectionGuardPolicy","Registry","HKLM:\Software\Policies\Microsoft\Windows NT\Printers\RedirectionGuardPolicy","","1","=","Medium","Medium","Result=, Recommended=1",
"10086","Registry (MS baseline)","Software\Policies\Microsoft\Windows NT\Printers\CopyFilesPolicy","Registry","HKLM:\Software\Policies\Microsoft\Windows NT\Printers\CopyFilesPolicy","","1","=","Medium","Medium","Result=, Recommended=1",
"10087","Registry (MS baseline)","Software\Policies\Microsoft\Windows NT\Printers\PointAndPrint\RestrictDriverInstallationToAdministrators","Registry","HKLM:\Software\Policies\Microsoft\Windows NT\Printers\PointAndPrint\RestrictDriverInstallationToAdministrators","","1","=","Medium","Medium","Result=, Recommended=1",
"10088","Registry (MS baseline)","Software\Policies\Microsoft\Windows NT\Printers\RPC\RpcUseNamedPipeProtocol","Registry","HKLM:\Software\Policies\Microsoft\Windows NT\Printers\RPC\RpcUseNamedPipeProtocol","","0","=","Medium","Medium","Result=, Recommended=0",
"10089","Registry (MS baseline)","Software\Policies\Microsoft\Windows NT\Printers\RPC\RpcAuthentication","Registry","HKLM:\Software\Policies\Microsoft\Windows NT\Printers\RPC\RpcAuthentication","","0","=","Medium","Medium","Result=, Recommended=0",
"10090","Registry (MS baseline)","Software\Policies\Microsoft\Windows NT\Printers\RPC\RpcProtocols","Registry","HKLM:\Software\Policies\Microsoft\Windows NT\Printers\RPC\RpcProtocols","","5","=","Medium","Medium","Result=, Recommended=5",
"10091","Registry (MS baseline)","Software\Policies\Microsoft\Windows NT\Printers\RPC\ForceKerberosForRpc","Registry","HKLM:\Software\Policies\Microsoft\Windows NT\Printers\RPC\ForceKerberosForRpc","","0","=","Medium","Medium","Result=, Recommended=0",
"10092","Registry (MS baseline)","Software\Policies\Microsoft\Windows NT\Printers\RPC\RpcTcpPort","Registry","HKLM:\Software\Policies\Microsoft\Windows NT\Printers\RPC\RpcTcpPort","","0","=","Medium","Medium","Result=, Recommended=0",
"10093","Registry (MS baseline)","Software\Policies\Microsoft\Windows NT\Rpc\RestrictRemoteClients","Registry","HKLM:\Software\Policies\Microsoft\Windows NT\Rpc\RestrictRemoteClients","","1","=","Medium","Medium","Result=, Recommended=1",
"10094","Registry (MS baseline)","Software\Policies\Microsoft\Windows NT\Terminal Services\fAllowToGetHelp","Registry","HKLM:\Software\Policies\Microsoft\Windows NT\Terminal Services\fAllowToGetHelp","","0","=","Medium","Medium","Result=, Recommended=0",
"10095","Registry (MS baseline)","Software\Policies\Microsoft\Windows NT\Terminal Services\MinEncryptionLevel","Registry","HKLM:\Software\Policies\Microsoft\Windows NT\Terminal Services\MinEncryptionLevel","","3","=","Medium","Medium","Result=, Recommended=3",
"10096","Registry (MS baseline)","Software\Policies\Microsoft\Windows NT\Terminal Services\fPromptForPassword","Registry","HKLM:\Software\Policies\Microsoft\Windows NT\Terminal Services\fPromptForPassword","","1","=","Medium","Medium","Result=, Recommended=1",
"10097","Registry (MS baseline)","Software\Policies\Microsoft\Windows NT\Terminal Services\fDisableCdm","Registry","HKLM:\Software\Policies\Microsoft\Windows NT\Terminal Services\fDisableCdm","","1","=","Medium","Medium","Result=, Recommended=1",
"10098","Registry (MS baseline)","Software\Policies\Microsoft\Windows NT\Terminal Services\DisablePasswordSaving","Registry","HKLM:\Software\Policies\Microsoft\Windows NT\Terminal Services\DisablePasswordSaving","","1","=","Medium","Medium","Result=, Recommended=1",
"10099","Registry (MS baseline)","Software\Policies\Microsoft\Windows NT\Terminal Services\fEncryptRPCTraffic","Registry","HKLM:\Software\Policies\Microsoft\Windows NT\Terminal Services\fEncryptRPCTraffic","","1","=","Medium","Medium","Result=, Recommended=1",
"10100","Registry (MS baseline)","Software\Policies\Microsoft\WindowsFirewall\PolicyVersion","Registry","HKLM:\Software\Policies\Microsoft\WindowsFirewall\PolicyVersion","","538","=","Medium","Medium","Result=, Recommended=538",
"10101","Registry (MS baseline)","Software\Policies\Microsoft\WindowsFirewall\DomainProfile\DefaultOutboundAction","Registry","HKLM:\Software\Policies\Microsoft\WindowsFirewall\DomainProfile\DefaultOutboundAction","","0","=","Medium","Medium","Result=, Recommended=0",
"10102","Registry (MS baseline)","Software\Policies\Microsoft\WindowsFirewall\DomainProfile\DisableNotifications","Registry","HKLM:\Software\Policies\Microsoft\WindowsFirewall\DomainProfile\DisableNotifications","","1","=","Medium","Medium","Result=, Recommended=1",
"10103","Registry (MS baseline)","Software\Policies\Microsoft\WindowsFirewall\DomainProfile\EnableFirewall","Registry","HKLM:\Software\Policies\Microsoft\WindowsFirewall\DomainProfile\EnableFirewall","","1","=","Medium","Medium","Result=, Recommended=1",
"10104","Registry (MS baseline)","Software\Policies\Microsoft\WindowsFirewall\DomainProfile\DefaultInboundAction","Registry","HKLM:\Software\Policies\Microsoft\WindowsFirewall\DomainProfile\DefaultInboundAction","","1","=","Medium","Medium","Result=, Recommended=1",
"10105","Registry (MS baseline)","Software\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging\LogDroppedPackets","Registry","HKLM:\Software\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging\LogDroppedPackets","","1","=","Medium","Medium","Result=, Recommended=1",
"10106","Registry (MS baseline)","Software\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging\LogFileSize","Registry","HKLM:\Software\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging\LogFileSize","","16384","=","Medium","Medium","Result=, Recommended=16384",
"10107","Registry (MS baseline)","Software\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging\LogSuccessfulConnections","Registry","HKLM:\Software\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging\LogSuccessfulConnections","","1","=","Medium","Medium","Result=, Recommended=1",
